sample_id,condition,transcript_id,isoform,biotype,TPM,total_klrk1,proportion
Cl13_D7_TermEx_2,Cl13_D7_TermExhausted,ENSMUST00000168919,Klrk1-205,protein_coding,28.690665,78.038104,36.764943699811056
Cl13_D7_TermEx_2,Cl13_D7_TermExhausted,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,78.038104,0.0
Cl13_D7_TermEx_2,Cl13_D7_TermExhausted,ENSMUST00000152256,Klrk1-204,retained_intron,7.389342,78.038104,9.468889710595736
Cl13_D7_TermEx_2,Cl13_D7_TermExhausted,ENSMUST00000204694,Klrk1-206,retained_intron,2.582375,78.038104,3.309120631634002
Cl13_D7_Prog_1,Cl13_D7_Progenitor,ENSMUST00000032252,Klrk1-201,protein_coding,28.496061,55.900774,50.97614748590065
Cl13_D7_Prog_1,Cl13_D7_Progenitor,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,55.900774,0.0
Cl13_D7_Prog_1,Cl13_D7_Progenitor,ENSMUST00000168919,Klrk1-205,protein_coding,20.96329,55.900774,37.50089399477724
Cl13_D7_Prog_1,Cl13_D7_Progenitor,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,55.900774,0.0
Cl13_D7_Prog_1,Cl13_D7_Progenitor,ENSMUST00000152256,Klrk1-204,retained_intron,4.650108,55.900774,8.318503783149765
Cl13_D7_Prog_1,Cl13_D7_Progenitor,ENSMUST00000204694,Klrk1-206,retained_intron,1.791315,55.900774,3.204454736172347
Cl13_D7_Prog_2,Cl13_D7_Progenitor,ENSMUST00000032252,Klrk1-201,protein_coding,81.954252,151.029171,54.263856086451014
Cl13_D7_Prog_2,Cl13_D7_Progenitor,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,151.029171,0.0
Cl13_D7_Prog_2,Cl13_D7_Progenitor,ENSMUST00000168919,Klrk1-205,protein_coding,47.578099,151.029171,31.502588993221714
Cl13_D7_Prog_2,Cl13_D7_Progenitor,ENSMUST00000137660,Klrk1-203,retained_intron,5.305899,151.029171,3.513161705694591
Cl13_D7_Prog_2,Cl13_D7_Progenitor,ENSMUST00000152256,Klrk1-204,retained_intron,13.170651,151.029171,8.72060073745621
Cl13_D7_Prog_2,Cl13_D7_Progenitor,ENSMUST00000204694,Klrk1-206,retained_intron,3.02027,151.029171,1.9997924771764788
