sample,gene,ri_tpm,total_gene_tpm,ri_pct
WT_Pre_3,Gapdh,4.2788900000000005,688.6135740000001,0.6213775274781325
WT_Pre_3,Klrk1,3.1800379999999997,21.938207999999996,14.495431896716452
pMIG_Cl13_Prog_1,Actb,23.62659,4847.4279209999995,0.48740466872431504
pMIG_Cl13_Prog_1,Gapdh,203.973014,1342.2394689999999,15.196469684501585
pMIG_Cl13_Prog_1,Klrk1,16.159357999999997,141.603011,11.411733328184665
pMIG_Cl13_Prog_2,Actb,24.943626000000002,5235.523276,0.47643042891898324
pMIG_Cl13_Prog_2,Gapdh,282.87478,1178.5926290000002,24.001064747877354
pMIG_Cl13_Prog_2,Klrk1,24.080405999999996,140.312157,17.162023957767246
pMIG_Cl13_Prog_3,Actb,26.533222000000002,4287.695574,0.6188224313520259
pMIG_Cl13_Prog_3,Gapdh,91.27594699999999,1222.69741,7.465129659512404
pMIG_Cl13_Prog_3,Klrk1,32.307831,151.11092599999998,21.380208470167144
pMIG_Cl13_TermEx_1,Actb,42.715992,5196.461200999999,0.8220208012287246
pMIG_Cl13_TermEx_1,Gapdh,100.409982,1377.5577210000004,7.288985460958407
pMIG_Cl13_TermEx_1,Klrk1,39.737843,220.61896599999997,18.011979532167693
pMIG_Cl13_TermEx_2,Actb,31.833910000000003,6340.736099,0.5020538546781744
pMIG_Cl13_TermEx_2,Gapdh,105.962488,1421.0563419999999,7.456600056467008
pMIG_Cl13_TermEx_2,Klrk1,28.882289,200.119127,14.432547969290313
pMIG_Cl13_TermEx_3,Actb,31.821894999999998,7140.152583,0.4456752797659366
pMIG_Cl13_TermEx_3,Gapdh,113.35616999999999,1148.2454559999996,9.87212006001616
pMIG_Cl13_TermEx_3,Klrk1,23.746388000000003,185.011024,12.835120570977438
